block,stimulus,response,start_tic,stop_tic
4,dots,right,545724,546520
4,dots,left,546701,547425
4,dots,right,547583,548244
4,dots,left,548408,549251
4,dots,left,549453,550139
4,dots,right,550306,550957
4,dots,right,551100,551930
4,dots,right,552073,552886
4,dots,right,553041,553910
4,dots,right,554093,555087
4,dots,left,555259,556094
4,dots,right,556266,557084
4,dots,right,557239,557971
4,dots,left,558137,559047
4,dots,left,559194,559951
4,dots,left,560136,560975
4,dots,right,561126,562050
4,dots,left,562237,563535
4,dots,left,563703,564849
4,dots,right,565012,565838
4,dots,left,565970,567136
4,dots,left,567287,568057
4,dots,right,568211,569456
4,dots,left,569648,570873
4,dots,left,571054,572000
4,dots,left,572161,573416
4,dots,left,573575,574474
4,dots,left,574638,575395
4,dots,left,575578,576504
4,dots,right,576648,577528
4,dots,left,577671,578450
4,dots,right,578599,579303
4,dots,left,579478,580430
4,dots,left,580585,581846
4,dots,right,582003,582818
4,blobs,left,584662,585379
4,blobs,right,585395,586010
4,blobs,right,586026,586795
4,blobs,left,586812,587393
4,blobs,left,587409,588297
4,blobs,right,588313,589014
4,blobs,left,589110,590635
4,blobs,left,590651,591386
4,blobs,right,591402,592102
4,blobs,left,592119,593297
4,blobs,left,593314,594202
4,blobs,right,594225,594987
4,blobs,left,595003,595618
4,blobs,right,595634,596249
4,blobs,right,596266,596847
4,blobs,left,596863,597444
4,blobs,right,597460,598007
4,blobs,right,598028,598809
4,blobs,left,598826,599526
4,blobs,left,599542,600089
4,blobs,right,600106,600652
4,blobs,left,600668,601472
4,blobs,left,601488,602154
4,blobs,right,602170,602854
4,blobs,left,602871,603588
4,blobs,left,603604,604253
4,blobs,left,604270,605294
4,blobs,right,605310,605960
4,blobs,right,605976,606710
4,blobs,left,606727,607461
4,blobs,right,607478,608178
4,blobs,left,608194,608878
4,blobs,right,608894,609612
4,blobs,right,609629,610499
4,blobs,left,610515,611352
4,blobs,left,611369,612547
4,blobs,left,612568,613281
4,blobs,right,613298,614066
4,blobs,right,614083,615465
4,blobs,right,615482,616404
4,blobs,left,616425,617240
4,blobs,right,617257,617888
4,blobs,left,617905,618793
4,blobs,left,618813,620175
4,blobs,left,620192,621028
4,blobs,right,621048,622001
4,blobs,left,622018,623008
4,blobs,left,623024,623998
4,blobs,left,624018,625209
4,blobs,right,625230,626302
